,Trial,BPM,GestureSize,MedianVelocityYRegionOne,MedianVelocityYRegionTwo
38,39.0,80.0,S,0.9338955,-0.46597150000000004
39,40.0,80.0,S,0.9732016,-0.4887745
40,1.0,100.0,S,1.020831,-0.32833409999999996
41,2.0,100.0,S,0.9932166,-0.44630329999999996
42,3.0,100.0,S,1.1368520000000002,-0.5863262
43,5.0,100.0,S,1.102058,-0.60423375
44,6.0,100.0,S,1.309168,-0.6050901
45,7.0,100.0,S,1.359237,-0.5024708999999999
46,8.0,100.0,S,1.238134,-0.4321886
47,9.0,100.0,S,1.3221399999999999,-0.6782821
48,10.0,100.0,S,1.0739530000000002,-0.48312209999999994
49,11.0,100.0,S,1.252343,-0.44822154999999997
50,12.0,100.0,S,1.062076,-0.48722035
51,13.0,100.0,S,1.00690825,-0.7035999
52,14.0,100.0,S,1.085931,-0.7246123999999999
53,15.0,100.0,S,0.9226134,-0.2978923
54,16.0,100.0,S,1.0025540000000002,-0.5411739000000001
55,17.0,100.0,S,1.086667,-0.6416837
56,18.0,100.0,S,0.8180862499999999,-0.6507805999999999
57,19.0,100.0,S,0.9300736999999999,-0.5458835
58,20.0,100.0,S,1.033651,-0.61590115
59,21.0,100.0,S,0.6907615,-0.2968318
60,22.0,100.0,S,0.8102551499999999,-0.44509160000000003
61,23.0,100.0,S,0.8312284,-0.3055961
62,24.0,100.0,S,0.8708456,-0.5022886
63,25.0,100.0,S,0.7981364000000001,-0.5451973000000001
64,26.0,100.0,S,0.89085075,-0.5098708000000001
65,27.0,100.0,S,0.9352472,-0.6197563
66,28.0,100.0,S,0.9153975999999999,-0.5595323999999999
67,29.0,100.0,S,0.8663629,-0.42280680000000004
68,30.0,100.0,S,0.6466125,-0.43058909999999995
69,31.0,100.0,S,0.7296156,-0.4849713
70,32.0,100.0,S,0.7000046,-0.4466715
71,33.0,100.0,S,0.7872016000000001,-0.670234
72,34.0,100.0,S,0.6925714,-0.3769363
73,35.0,100.0,S,0.7610309000000001,-0.5516052
74,36.0,100.0,S,0.748022,-0.3589583
75,37.0,100.0,S,0.9234228999999999,-0.26766490000000004
76,38.0,100.0,S,0.7434828500000001,-0.4790555
77,39.0,100.0,S,0.72118695,-0.40860635000000006
78,40.0,100.0,S,0.73032155,-0.4750152
79,1.0,120.0,S,0.8972734499999999,-0.4391433
80,2.0,120.0,S,0.9164517500000001,-0.39364745
81,3.0,120.0,S,1.021543,-0.30785070000000003
82,4.0,120.0,S,1.027297,-0.3050683
83,5.0,120.0,S,0.9432429,-0.3527717
84,6.0,120.0,S,0.7761100000000001,-0.5248168000000001
85,7.0,120.0,S,1.082247,-0.3121302
86,8.0,120.0,S,0.9554084999999999,-0.58161635
87,9.0,120.0,S,0.82968485,-0.6170725
88,10.0,120.0,S,1.1402295,-0.5333472
89,11.0,120.0,S,0.75591875,-0.5183535
90,12.0,120.0,S,0.9793425499999999,-0.3244155
91,13.0,120.0,S,1.175492,-0.44974815
92,14.0,120.0,S,0.9501917,-0.39546129999999996
93,15.0,120.0,S,1.03200085,-0.7202509500000001
94,16.0,120.0,S,1.1898799999999998,-0.2756781
95,17.0,120.0,S,1.09896885,-0.34589770000000003
96,18.0,120.0,S,1.139728,-0.4653869000000001
97,19.0,120.0,S,1.277189,-0.38652995
98,20.0,120.0,S,1.1102379999999998,-0.3434637
99,21.0,120.0,S,0.9470457,-0.5675326
100,22.0,120.0,S,0.9644561,-0.3306597
101,23.0,120.0,S,0.86748095,-0.4756763
