,Trial,BPM,GestureSize,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,TotalDistanceCoveredBothRegions
249,12.0,80.0,L,0.7060805,0.3093625000000001,1.015443
250,13.0,80.0,L,0.6940149999999999,0.3156309999999999,1.0096459999999998
251,14.0,80.0,L,0.7570194,0.3227965999999999,1.0798159999999999
252,15.0,80.0,L,0.7407433000000001,0.30512169999999994,1.045865
253,16.0,80.0,L,0.7637755,0.35417549999999987,1.117951
254,17.0,80.0,L,0.7094874,0.3221916,1.031679
255,18.0,80.0,L,0.6687797,0.2573874999999999,0.9261671999999999
256,19.0,80.0,L,0.6688293000000001,0.2924292999999999,0.9612586
257,20.0,80.0,L,0.6904942,0.2791956000000002,0.9696898000000002
258,21.0,80.0,L,0.5700847,0.19501979999999997,0.7651045
259,22.0,80.0,L,0.6130725,0.2353626000000001,0.8484351000000001
260,23.0,80.0,L,0.5778808000000001,0.2657876,0.8436684000000001
261,24.0,80.0,L,0.5689483,0.24147950000000007,0.8104278
262,25.0,80.0,L,0.5981911,0.24172230000000006,0.8399134
263,26.0,80.0,L,0.5825815,0.26531610000000005,0.8478976
264,27.0,80.0,L,0.5532655,0.19680419999999998,0.7500697
265,28.0,80.0,L,0.5744994000000001,0.2296858999999999,0.8041853
266,29.0,80.0,L,0.5000216,0.2347317000000001,0.7347533
267,30.0,80.0,L,0.5338582,0.2051214,0.7389796
268,31.0,80.0,L,0.5374029,0.2458962,0.7832991
269,32.0,80.0,L,0.5272498999999999,0.21275140000000015,0.7400013000000001
270,33.0,80.0,L,0.5531678000000001,0.21200099999999988,0.7651688
271,34.0,80.0,L,0.5432808000000001,0.2274141999999999,0.770695
272,35.0,80.0,L,0.5520174,0.18427519999999997,0.7362926
273,36.0,80.0,L,0.6141453,0.22017540000000002,0.8343207
274,37.0,80.0,L,0.5328921999999999,0.23101590000000005,0.7639081
275,38.0,80.0,L,0.5889435000000001,0.22323799999999994,0.8121815
276,39.0,80.0,L,0.5460951,0.2161420999999999,0.7622372
277,40.0,80.0,L,0.5420748000000001,0.18347489999999989,0.7255497
278,1.0,100.0,L,0.6787211999999999,0.29536360000000006,0.9740848
279,2.0,100.0,L,0.6967083000000001,0.3111466999999999,1.007855
280,3.0,100.0,L,0.7264453000000001,0.28121169999999995,1.007657
281,4.0,100.0,L,0.7234508000000001,0.3105151999999999,1.033966
282,5.0,100.0,L,0.7210653,0.26962279999999994,0.9906881
283,6.0,100.0,L,0.7491838000000001,0.34941319999999976,1.0985969999999998
284,7.0,100.0,L,0.7297241,0.3147189,1.044443
285,8.0,100.0,L,0.7839546,0.3151894000000002,1.0991440000000001
286,9.0,100.0,L,0.7994264,0.3261046000000001,1.125531
287,10.0,100.0,L,0.6396849,0.28049730000000006,0.9201822000000001
288,11.0,100.0,L,0.7593356,0.34015839999999997,1.099494
289,12.0,100.0,L,0.6397265000000001,0.27126709999999987,0.9109936
290,13.0,100.0,L,0.6971588000000001,0.28638529999999984,0.9835440999999999
291,14.0,100.0,L,0.7042109000000001,0.3191550999999999,1.023366
292,15.0,100.0,L,0.6454404,0.2835152999999999,0.9289556999999999
293,16.0,100.0,L,0.6389361,0.2498473000000001,0.8887834000000001
294,17.0,100.0,L,0.7350875,0.32008749999999997,1.055175
295,18.0,100.0,L,0.701218,0.2724450999999999,0.9736630999999999
296,19.0,100.0,L,0.6900501,0.27745869999999995,0.9675088
297,20.0,100.0,L,0.7201398,0.2938982,1.014038
298,21.0,100.0,L,0.5802223000000001,0.22670049999999997,0.8069228
299,22.0,100.0,L,0.5129805000000001,0.2083759999999999,0.7213565
300,23.0,100.0,L,0.5095638,0.185168,0.6947318
301,24.0,100.0,L,0.5138263,0.2102617000000001,0.7240880000000001
302,25.0,100.0,L,0.491828,0.21472240000000004,0.7065504
303,26.0,100.0,L,0.4860938,0.223163,0.7092568
304,27.0,100.0,L,0.4616332,0.1579413,0.6195745
305,28.0,100.0,L,0.44054160000000003,0.16151290000000001,0.6020545
306,29.0,100.0,L,0.4670193,0.1978067,0.664826
307,30.0,100.0,L,0.4736899000000001,0.20182219999999995,0.6755121000000001
308,31.0,100.0,L,0.4461669,0.16522450000000005,0.6113914
309,32.0,100.0,L,0.4236004,0.20717870000000005,0.6307791
310,33.0,100.0,L,0.4593196,0.20537109999999997,0.6646907
311,34.0,100.0,L,0.4223634,0.14932550000000006,0.5716889
312,35.0,100.0,L,0.4406152,0.17284549999999999,0.6134607
313,36.0,100.0,L,0.4584475000000001,0.20450869999999988,0.6629562
314,37.0,100.0,L,0.42693000000000003,0.16055359999999985,0.5874835999999999
315,38.0,100.0,L,0.4195937,0.18296339999999994,0.6025571
316,39.0,100.0,L,0.4616955,0.2220781,0.6837736
317,40.0,100.0,L,0.44481099999999996,0.19981880000000007,0.6446298
318,1.0,120.0,L,0.6880403,0.27634419999999993,0.9643845
319,2.0,120.0,L,0.8007088000000001,0.3071721999999998,1.107881
320,3.0,120.0,L,0.8031955,0.33875750000000004,1.141953
321,4.0,120.0,L,0.8030712,0.29713480000000003,1.100206
322,5.0,120.0,L,0.6936813000000001,0.31794770000000006,1.0116290000000001
323,6.0,120.0,L,0.7248584,0.3142575999999999,1.039116
324,7.0,120.0,L,0.6931921,0.2921148,0.9853069
325,8.0,120.0,L,0.7322104,0.3250565999999999,1.057267
326,9.0,120.0,L,0.5773156,0.23358270000000003,0.8108983000000001
327,10.0,120.0,L,0.6589626000000001,0.26686849999999995,0.9258311
328,11.0,120.0,L,0.6309989,0.2727027999999999,0.9037016999999999
329,12.0,120.0,L,0.6703988000000001,0.22350389999999998,0.8939027
330,13.0,120.0,L,0.6446085,0.2217931999999999,0.8664016999999999
331,14.0,120.0,L,0.571237,0.24366430000000006,0.8149013
332,15.0,120.0,L,0.6670169,0.2514257999999999,0.9184427
333,16.0,120.0,L,0.5161135,0.21287619999999996,0.7289897
334,17.0,120.0,L,0.5641811,0.19240790000000008,0.7565890000000001
335,18.0,120.0,L,0.5640841,0.20226270000000013,0.7663468000000001
336,19.0,120.0,L,0.5469519,0.19794390000000006,0.7448958000000001
337,20.0,120.0,L,0.6545629,0.22693740000000007,0.8815003
338,21.0,120.0,L,0.45569129999999997,0.19651120000000005,0.6522025
339,22.0,120.0,L,0.4809991,0.21256999999999993,0.6935690999999999
340,23.0,120.0,L,0.5005701,0.21015509999999993,0.7107252
341,24.0,120.0,L,0.46468370000000003,0.20800430000000003,0.6726880000000001
342,25.0,120.0,L,0.4768178,0.18354589999999998,0.6603637
343,26.0,120.0,L,0.4951925999999999,0.2154086,0.7106011999999999
344,27.0,120.0,L,0.4519645000000001,0.17467579999999994,0.6266403
345,28.0,120.0,L,0.4625573,0.2229965000000001,0.6855538000000001
346,29.0,120.0,L,0.4696135,0.2008139,0.6704274
347,30.0,120.0,L,0.42342179999999996,0.13794720000000005,0.561369
348,31.0,120.0,L,0.3923454,0.13515079999999996,0.5274962
349,32.0,120.0,L,0.424558,0.16769730000000005,0.5922553
350,33.0,120.0,L,0.41579979999999994,0.15310310000000016,0.5689029000000001
351,34.0,120.0,L,0.4929422000000001,0.22445789999999988,0.7174001
352,35.0,120.0,L,0.48562150000000004,0.22045899999999996,0.7060805
353,36.0,120.0,L,0.48006509999999997,0.18309840000000005,0.6631635
354,37.0,120.0,L,0.442439,0.18404940000000003,0.6264884000000001
355,38.0,120.0,L,0.4504666,0.15741390000000005,0.6078805
356,39.0,120.0,L,0.3846636,0.14753480000000008,0.5321984000000001
357,40.0,120.0,L,0.445,0.1751938,0.6201938
