,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo
85,7.0,120.0,S,1.189619,0.5107484999999999
86,8.0,120.0,S,1.004237,0.65629645
87,9.0,120.0,S,0.9929137499999999,0.6553034000000001
88,10.0,120.0,S,1.1953745,0.6986829000000001
89,11.0,120.0,S,0.92505315,0.5654798000000001
90,12.0,120.0,S,1.117843,0.3868781
91,13.0,120.0,S,1.1889,0.48953725000000003
92,14.0,120.0,S,1.073796,0.4284482
93,15.0,120.0,S,1.1697739999999999,0.7847656000000001
94,16.0,120.0,S,1.319232,0.6549635
95,17.0,120.0,S,1.166526,0.4011267
96,18.0,120.0,S,1.218995,0.5368378
97,19.0,120.0,S,1.4218879999999998,0.45952655
98,20.0,120.0,S,1.2528015,0.66064455
99,21.0,120.0,S,0.9650395,0.5974503000000001
100,22.0,120.0,S,1.0316405499999999,0.3857142
101,23.0,120.0,S,0.9348635999999999,0.5303339
102,24.0,120.0,S,0.9998538,0.3791509
103,25.0,120.0,S,1.07599625,0.50686635
104,26.0,120.0,S,1.0888790000000002,0.6415571
105,27.0,120.0,S,1.0188045000000001,0.40749899999999994
106,28.0,120.0,S,0.9655677,0.5016872
107,29.0,120.0,S,0.9965050999999999,0.5984254
108,30.0,120.0,S,0.91170785,0.4135297000000001
109,31.0,120.0,S,1.0537,0.5296418
110,32.0,120.0,S,1.198243,0.6165347
111,33.0,120.0,S,1.00760505,0.50272615
112,34.0,120.0,S,1.1204085,0.5497999
113,36.0,120.0,S,0.9026034000000001,0.4167338
114,37.0,120.0,S,1.0064516000000001,0.5630834
115,38.0,120.0,S,0.9839976500000001,0.66505295
116,39.0,120.0,S,0.9430405000000001,0.6330563499999999
117,40.0,120.0,S,1.05178,0.5290023500000001
118,1.0,80.0,M,1.9186234999999998,0.9516099500000001
119,2.0,80.0,M,1.884418,0.7696703
120,3.0,80.0,M,1.812049,0.9080191
121,4.0,80.0,M,1.9894330000000002,0.8553546999999999
122,5.0,80.0,M,1.923927,0.9745889000000001
123,6.0,80.0,M,1.817969,0.821385
124,7.0,80.0,M,1.557552,0.7654158000000001
125,8.0,80.0,M,1.6392875,0.89828215
126,9.0,80.0,M,1.486451,0.85841325
127,10.0,80.0,M,1.316911,0.8461083
128,11.0,80.0,M,1.302243,0.7910054
129,12.0,80.0,M,1.466736,0.7911675
130,13.0,80.0,M,1.5775059999999999,0.8236357
131,14.0,80.0,M,1.595175,0.7347186
132,15.0,80.0,M,1.288656,0.80610045
133,16.0,80.0,M,1.482609,0.7520185
134,17.0,80.0,M,1.4891904999999999,0.7558208000000001
135,18.0,80.0,M,1.345121,0.7022188
136,19.0,80.0,M,1.5940725,0.6992602
137,20.0,80.0,M,1.1883780000000002,0.6988282
138,21.0,80.0,M,1.237755,0.41968829999999996
139,22.0,80.0,M,1.41606,0.7407986999999999
140,23.0,80.0,M,1.284532,0.845392
141,24.0,80.0,M,1.310876,0.7101613
142,25.0,80.0,M,1.479982,0.6895544
143,26.0,80.0,M,1.40723,0.8450751
144,27.0,80.0,M,1.571968,0.9111068000000001
145,28.0,80.0,M,1.4593600000000002,0.4619604000000001
146,29.0,80.0,M,1.53505,0.5817468000000001
147,30.0,80.0,M,1.354925,0.9500363000000002
148,31.0,80.0,M,1.5138655,0.7712386
149,32.0,80.0,M,1.574106,0.6754433
150,33.0,80.0,M,1.5263665,0.8931733000000001
151,34.0,80.0,M,1.632254,0.6773986
152,35.0,80.0,M,1.32756,0.8475251
153,36.0,80.0,M,1.351609,0.509332
154,37.0,80.0,M,1.265185,0.4931985
155,38.0,80.0,M,1.2703955,0.8639064
156,39.0,80.0,M,1.29934,0.8339339
157,40.0,80.0,M,1.363796,0.5391188
158,1.0,100.0,M,1.7764185000000001,1.061025
159,2.0,100.0,M,1.6504470000000002,0.9162446
