,Trial,BPM,GestureSize,MinAngleRegionTwo
158,39.0,80.0,M,70.5349
159,40.0,80.0,M,75.37718000000002
160,1.0,100.0,M,75.75431999999998
161,2.0,100.0,M,77.97343000000002
162,3.0,100.0,M,76.12763000000002
163,4.0,100.0,M,79.87788
164,5.0,100.0,M,75.52135
165,6.0,100.0,M,72.86814
166,7.0,100.0,M,82.46359
167,8.0,100.0,M,80.88942
168,9.0,100.0,M,76.94215
169,10.0,100.0,M,78.22715
170,11.0,100.0,M,77.58688000000002
171,12.0,100.0,M,80.16654
172,13.0,100.0,M,83.6888
173,14.0,100.0,M,77.47126
174,15.0,100.0,M,77.88073
175,16.0,100.0,M,79.38435
176,17.0,100.0,M,76.74679
177,18.0,100.0,M,81.25291999999997
178,19.0,100.0,M,75.68583000000002
179,20.0,100.0,M,83.12595
180,21.0,100.0,M,68.55561
181,22.0,100.0,M,69.31466
182,23.0,100.0,M,75.70453
183,24.0,100.0,M,74.95758000000002
184,25.0,100.0,M,75.41164
185,26.0,100.0,M,75.54095
186,27.0,100.0,M,72.39584
187,28.0,100.0,M,76.12885
188,29.0,100.0,M,71.34697
189,30.0,100.0,M,74.60481
190,31.0,100.0,M,71.07686
191,32.0,100.0,M,80.18293
192,33.0,100.0,M,78.22774
193,34.0,100.0,M,74.22978
194,35.0,100.0,M,76.40191999999998
195,36.0,100.0,M,75.66853
196,37.0,100.0,M,65.83487
197,38.0,100.0,M,66.40604
198,39.0,100.0,M,67.29784000000001
199,40.0,100.0,M,69.14854
200,1.0,120.0,M,76.25417
201,2.0,120.0,M,79.12053
202,3.0,120.0,M,77.80488000000003
203,4.0,120.0,M,76.73692
204,5.0,120.0,M,80.41705999999998
205,6.0,120.0,M,73.79871
206,7.0,120.0,M,76.00975
207,8.0,120.0,M,81.61182
208,9.0,120.0,M,82.13756
209,10.0,120.0,M,74.66976
210,11.0,120.0,M,66.79278000000001
211,12.0,120.0,M,69.51612
212,13.0,120.0,M,72.81215999999998
213,14.0,120.0,M,73.59734
214,15.0,120.0,M,71.81933000000002
215,16.0,120.0,M,70.52962
216,17.0,120.0,M,78.21804
217,18.0,120.0,M,76.69800000000002
218,19.0,120.0,M,77.57011
219,20.0,120.0,M,77.8989
220,21.0,120.0,M,82.94485999999998
221,22.0,120.0,M,76.74928
222,23.0,120.0,M,80.45338000000002
223,24.0,120.0,M,70.48326
224,25.0,120.0,M,77.2345
225,26.0,120.0,M,79.38476
226,27.0,120.0,M,73.08005
227,28.0,120.0,M,83.71859
228,29.0,120.0,M,77.33466
229,30.0,120.0,M,79.28546999999998
230,31.0,120.0,M,80.99175
231,32.0,120.0,M,74.66985
232,33.0,120.0,M,71.6646
233,34.0,120.0,M,76.0103
234,35.0,120.0,M,76.0417
235,36.0,120.0,M,78.54273
236,37.0,120.0,M,80.2772
