,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo
157,40.0,80.0,M,1.363796,0.5391188,1.1947731615384618,0.56442415
158,1.0,100.0,M,1.7764185000000001,1.061025,1.8134265785714287,0.9273640777777779
159,2.0,100.0,M,1.6504470000000002,0.9162446,1.6130271538461538,0.909687125
160,3.0,100.0,M,1.9107880000000002,0.6650881999999999,1.6400161692307693,0.6830596250000001
161,4.0,100.0,M,2.2609980000000003,1.094905,2.1759357,1.022783890909091
162,5.0,100.0,M,1.533675,0.5277231,1.5962037384615388,0.6990569333333334
163,6.0,100.0,M,1.6922104999999998,0.8197946,1.7036118333333337,0.8170210333333334
164,7.0,100.0,M,1.602946,0.6966649999999999,1.6338556461538458,0.82878574
165,8.0,100.0,M,1.531812,0.8080629,1.5708541666666667,0.8011127111111112
166,9.0,100.0,M,1.7434740000000002,1.0835191,1.6730932307692306,0.9471213962499999
167,10.0,100.0,M,1.6824065,0.7672545000000001,1.7199213333333334,0.7646524666666665
168,11.0,100.0,M,1.490112,0.9891361999999999,1.4830420533333333,0.948826175
169,12.0,100.0,M,1.607008,0.96740955,1.5008986500000001,0.8823700499999999
170,13.0,100.0,M,1.647563,0.9850144000000001,1.5844643307692305,0.8401976
171,14.0,100.0,M,1.2634105,0.91871575,1.3126011785714284,0.8153934
172,15.0,100.0,M,1.420105,0.8825045,1.3776572333333332,0.7731702285714286
173,16.0,100.0,M,1.386624,0.5842282,1.395127566666667,0.6201635025
174,17.0,100.0,M,1.571231,0.82924635,1.4861037307692309,0.7502759625
175,18.0,100.0,M,1.711641,0.9399056,1.5874284153846152,0.818740842857143
176,19.0,100.0,M,1.3867015,0.7982818,1.435794242857143,0.7625304666666666
177,20.0,100.0,M,1.6876685,0.8041931999999999,1.6357268,0.7704481142857142
178,21.0,100.0,M,1.151512,0.646814,1.1049622583333336,0.621738975
179,22.0,100.0,M,1.345815,0.4951076,1.1239778,0.608540788888889
180,23.0,100.0,M,1.330968,0.72330445,1.3596036461538459,0.72333324
181,24.0,100.0,M,1.430548,0.8042169,1.2680472916666667,0.6953062571428571
182,25.0,100.0,M,1.264989,0.6692239999999999,1.243346892857143,0.69058913
183,26.0,100.0,M,0.948211,0.8241478000000001,1.1026986666666667,0.800720675
184,27.0,100.0,M,1.323004,0.8938387999999999,1.2981713133333332,0.7722349037499999
185,28.0,100.0,M,1.4682959999999998,0.6211411,1.3143066692307692,0.6168605125
186,29.0,100.0,M,1.2957845,0.6681948,1.3022123571428572,0.7073514555555556
187,30.0,100.0,M,1.2681799999999999,0.6327394000000001,1.2995100615384618,0.6987604181818182
188,31.0,100.0,M,1.537919,0.6319615,1.4011433153846153,0.7464505666666665
189,32.0,100.0,M,1.3790865,0.6103331999999999,1.35054285,0.6410399044444444
190,33.0,100.0,M,1.110676,0.70956655,1.111904757142857,0.6980002375000001
191,34.0,100.0,M,1.166463,0.9054895000000001,1.1581018,0.7943476142857143
192,35.0,100.0,M,1.3046360000000001,0.78262275,1.2720427357142856,0.7062097999999999
193,36.0,100.0,M,1.1766969999999999,0.7518969499999999,1.1750009285714285,0.652155905
194,37.0,100.0,M,1.181327,0.6035057500000001,1.1509475166666665,0.5912488340000002
195,38.0,100.0,M,1.114372,0.6986154,1.1477228538461537,0.68522945
196,39.0,100.0,M,1.172336,0.7683349500000001,1.1561989846153848,0.6768669125000001
