,BPM,GestureSize,TotalDistanceCoveredInRegionOne,Trial
220,120.0,M,0.3656583,21.0
221,120.0,M,0.3383515,22.0
222,120.0,M,0.3631361,23.0
223,120.0,M,0.3451941,24.0
224,120.0,M,0.3522031,25.0
225,120.0,M,0.3349554,26.0
226,120.0,M,0.2613377,27.0
227,120.0,M,0.3243052,28.0
228,120.0,M,0.3225292,29.0
229,120.0,M,0.3231413,30.0
230,120.0,M,0.3682991,31.0
231,120.0,M,0.3355798,32.0
232,120.0,M,0.35002890000000003,33.0
233,120.0,M,0.3196148,34.0
234,120.0,M,0.339812,35.0
235,120.0,M,0.35601059999999995,36.0
236,120.0,M,0.3584653,37.0
237,120.0,M,0.3266768,38.0
238,120.0,M,0.2945123,39.0
239,120.0,M,0.3415762,40.0
240,80.0,L,0.6061356999999999,1.0
241,80.0,L,0.6780973000000001,2.0
242,80.0,L,0.609226,3.0
243,80.0,L,0.6707585,4.0
244,80.0,L,0.6894422,5.0
245,80.0,L,0.7318859999999999,6.0
246,80.0,L,0.6327364000000001,7.0
247,80.0,L,0.6489319,8.0
248,80.0,L,0.6424524,9.0
249,80.0,L,0.7176561,10.0
250,80.0,L,0.7101135000000001,11.0
251,80.0,L,0.7060805,12.0
252,80.0,L,0.6940149999999999,13.0
253,80.0,L,0.7570194,14.0
254,80.0,L,0.7407433000000001,15.0
255,80.0,L,0.7637755,16.0
256,80.0,L,0.7094874,17.0
257,80.0,L,0.6687797,18.0
258,80.0,L,0.6688293000000001,19.0
259,80.0,L,0.6904942,20.0
260,80.0,L,0.5700847,21.0
261,80.0,L,0.6130725,22.0
262,80.0,L,0.5778808000000001,23.0
263,80.0,L,0.5689483,24.0
264,80.0,L,0.5981911,25.0
265,80.0,L,0.5825815,26.0
266,80.0,L,0.5532655,27.0
267,80.0,L,0.5744994000000001,28.0
268,80.0,L,0.5000216,29.0
269,80.0,L,0.5338582,30.0
270,80.0,L,0.5374029,31.0
271,80.0,L,0.5272498999999999,32.0
272,80.0,L,0.5531678000000001,33.0
