,Trial,BPM,GestureSize,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo
38,39.0,80.0,S,0.9338955,-0.46597150000000004,0.7750567615384616,-0.4316482625
39,40.0,80.0,S,0.9732016,-0.4887745,0.8499307727272728,-0.44912242833333327
40,1.0,100.0,S,1.020831,-0.32833409999999996,0.9496417076923078,-0.39266602428571423
41,2.0,100.0,S,0.9932166,-0.44630329999999996,0.9945239285714285,-0.49362715333333335
42,3.0,100.0,S,1.1368520000000002,-0.5863262,1.0316518250000002,-0.4494074222222222
43,5.0,100.0,S,1.102058,-0.60423375,1.06094669,-0.63408578
44,6.0,100.0,S,1.309168,-0.6050901,1.1873109714285712,-0.685064817142857
45,7.0,100.0,S,1.359237,-0.5024708999999999,1.2720484666666667,-0.3694709388888889
46,8.0,100.0,S,1.238134,-0.4321886,1.2338590666666664,-0.42672108750000004
47,9.0,100.0,S,1.3221399999999999,-0.6782821,1.157195469230769,-0.6614857201250001
48,10.0,100.0,S,1.0739530000000002,-0.48312209999999994,1.0603403346153846,-0.45025578175000003
49,11.0,100.0,S,1.252343,-0.44822154999999997,1.160762723076923,-0.47611825249999995
50,12.0,100.0,S,1.062076,-0.48722035,0.990995246153846,-0.495139975
51,13.0,100.0,S,1.00690825,-0.7035999,0.9745291083333335,-0.5701732914285713
52,14.0,100.0,S,1.085931,-0.7246123999999999,0.9224183585714286,-0.6171870242857143
53,15.0,100.0,S,0.9226134,-0.2978923,0.8626677769230766,-0.27725064
54,16.0,100.0,S,1.0025540000000002,-0.5411739000000001,0.9177771769230769,-0.4200958942857143
55,17.0,100.0,S,1.086667,-0.6416837,0.9930256333333335,-0.5545700728571429
56,18.0,100.0,S,0.8180862499999999,-0.6507805999999999,0.8228512225000001,-0.5181726
57,19.0,100.0,S,0.9300736999999999,-0.5458835,0.8689117363636363,-0.37175859000000006
58,20.0,100.0,S,1.033651,-0.61590115,0.9679922,-0.5413194061666666
59,21.0,100.0,S,0.6907615,-0.2968318,0.6425085054545455,-0.28292125714285715
60,22.0,100.0,S,0.8102551499999999,-0.44509160000000003,0.778442725,-0.38873419375
61,23.0,100.0,S,0.8312284,-0.3055961,0.7566641307692308,-0.33008328666666664
