,Unnamed: 0,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7506,7568,370.84S100T7,S,0.04731925,-1.0424579999999999,0.06346031,0.49010190000000003,-0.43624769999999996,0.0474479,1.04546,0.66,73.55494,0.4013561,4.516108,100,27
7507,7569,370.86S100T7,S,0.04731925,-1.0424579999999999,0.06346031,0.4910483,-0.45709690000000003,0.04871711,1.04546,0.68,70.46529,0.4222652,4.516108,100,27
7508,7570,370.88S100T7,S,0.05536593,-1.119415,0.03460849,0.4918768,-0.4672597,0.04719258,1.121318,0.7,69.02145,0.43257510000000005,3.0581169999999998,100,27
7509,7571,370.9S100T7,S,0.06194392,-1.172792,-0.002253774,0.49370749999999997,-0.49924070000000004,0.04552981,1.1744290000000002,0.72,59.9206,0.46465159999999994,1.8114299999999999,100,27
7510,7572,370.92S100T7,S,0.05947195,-1.1727610000000002,-0.03965151,0.4952393,-0.5297005,0.04286972,1.1749370000000001,0.74,37.10476,0.49526570000000003,1.8977099999999998,100,27
7511,7573,370.94S100T7,S,0.05060431,-1.106364,-0.07421219999999999,0.4963827,-0.5568251999999999,0.03926726,1.110004,0.76,12.86683,0.5226524,4.986998000000001,100,27
7512,7574,372.54S100T8,S,-0.01886719,-0.6980566999999999,-0.03152235,0.6049479,-0.46130540000000003,0.08241817,0.6990227,0.0,-999.0,0.0,3.7779800000000003,100,28
7513,7575,372.56S100T8,S,-0.01886719,-0.6980566999999999,-0.03152235,0.6045706,-0.47526660000000004,0.08178772,0.6990227,0.02,-999.0,0.0,3.7779800000000003,100,28
7514,7576,372.58S100T8,S,-0.07886497,-0.7530091999999999,-0.08506039,0.601351,-0.4823348,0.07833242,0.7618909,0.04,-999.0,0.0,3.5627720000000003,100,28
7515,7577,372.6S100T8,S,-0.1411432,-0.7707520999999999,-0.135021,0.5959945,-0.5027682,0.07301115,0.7951169,0.06,-999.0,0.0,3.11042,100,28
7516,7578,372.62S100T8,S,-0.19255329999999998,-0.7535642,-0.1848068,0.5895283,-0.5218862,0.06635306,0.7994306,0.08,-999.0,0.0,2.996675,100,28
7517,7579,372.64S100T8,S,-0.2358433,-0.6860460999999999,-0.22305100000000003,0.5822538,-0.5380333,0.05910431,0.7589684,0.1,-999.0,0.0,5.163498000000001,100,28
7518,7580,372.66S100T8,S,-0.2358433,-0.6860460999999999,-0.22305100000000003,0.5775369,-0.5517542,0.05464329,0.7589684,0.12,-999.0,0.0,5.163498000000001,100,28
7519,7581,372.68S100T8,S,-0.288591,-0.5334966,-0.2496699,0.5733955,-0.5479318,0.05136997,0.6559255999999999,0.14,-999.0,0.0,9.288383,100,28
7520,7582,372.7S100T8,S,-0.35978390000000005,-0.2333097,-0.2495595,0.5621009,-0.5462084,0.04439953,0.4961429,0.16,-999.0,0.0,14.70054,100,28
7521,7583,372.72S100T8,S,-0.42267520000000003,0.145262,-0.2208257,0.5493177,-0.5322409,0.03936528,0.49851709999999994,0.18,-999.0,0.01959199,17.0267,100,28
7522,7584,372.74S100T8,S,-0.43751359999999995,0.5553485,-0.17585689999999998,0.5371021,-0.5062717000000001,0.03635213,0.7285299,0.2,64.15035999999999,0.04844848,13.87466,100,28
7523,7585,372.76S100T8,S,-0.43751359999999995,0.5553485,-0.17585689999999998,0.5283518,-0.4951647,0.03283499,0.7285299,0.22,59.362730000000006,0.06301909,13.87466,100,28
7524,7586,372.78S100T8,S,-0.39597459999999995,0.8436123,-0.1321703,0.5277090999999999,-0.47619399999999995,0.03465363,0.9412473,0.24,68.46563,0.08208762,10.60648,100,28
7525,7587,372.8S100T8,S,-0.3251002,1.070824,-0.09679794,0.5210024999999999,-0.44179880000000005,0.0338267,1.123264,0.26,72.30688,0.1171403,8.001369,100,28
7526,7588,372.82S100T8,S,-0.2415701,1.230679,-0.08974644,0.5167271,-0.4051701,0.03249355,1.257371,0.28,75.31232,0.15404179999999998,5.402425,100,28
7527,7589,372.84S100T8,S,-0.1543418,1.293442,-0.1108243,0.5145874,-0.369258,0.02987129,1.307324,0.3,77.54284,0.190113,3.078951,100,28
