,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
71,33.0,100.0,S,0.8062486,0.69098225,0.6170834,0.6170834,0.250165,0.10350889999999996,0.3536739,76.30041999999997,76.63676,70.63127,0.7872016000000001,-0.670234,0.6699598257142858,-0.5970528833333334,0.36,0.46,0.38,100.0
72,34.0,100.0,S,0.8157076999999999,0.3935735,0.407795965,0.407795965,0.2420735,0.10013209999999992,0.34220559999999994,81.92469,82.49566999999998,79.05025,0.6925714,-0.3769363,0.6690362730769231,-0.34375852125,0.27999999999999997,0.42,0.3,103.44827586206895
73,35.0,100.0,S,0.8228804,0.558619,0.4875234600000001,0.4875234600000001,0.24039120000000005,0.10280699999999997,0.3431982,82.83998000000003,82.7258,77.78407,0.7610309000000001,-0.5516052,0.7295217307692307,-0.4737574285714286,0.30000000000000004,0.42000000000000004,0.31999999999999995,96.77419354838709
74,36.0,100.0,S,0.7616118999999999,0.3716263,0.4707191857142857,0.4707191857142857,0.2388372000000001,0.10445679999999988,0.343294,82.75196,82.82979,79.87814,0.7480220000000001,-0.3589583,0.7435252499999999,-0.3860348428571429,0.26,0.39999999999999997,0.3,103.44827586206895
75,37.0,100.0,S,0.9317996,0.4977809,0.4555872,0.4555872,0.2472605,0.09965590000000002,0.3469164,85.28256999999998,85.57834,82.57874,0.9234229,-0.26766490000000004,0.8674507272727272,-0.2951440985714285,0.22000000000000003,0.36000000000000004,0.26,111.11111111111109
76,38.0,100.0,S,0.7770990500000001,0.4896228,0.5081325228571429,0.5081325228571429,0.2347093,0.10764900000000002,0.3423583,80.45183,80.64902,74.93916,0.7434828500000001,-0.4790555,0.7267285333333334,-0.4995250214285714,0.30000000000000004,0.41999999999999993,0.31999999999999995,103.44827586206895
77,39.0,100.0,S,0.7565200999999999,0.4232925500000001,0.4308074912500001,0.4308074912500001,0.2310471,0.1053109,0.336358,80.02526,80.79706,77.53394,0.72118695,-0.4086063500000001,0.6883441916666665,-0.37541122375,0.27999999999999997,0.42000000000000004,0.3,103.44827586206895
78,40.0,100.0,S,0.7883017,0.4860816,0.4065639142857143,0.4065639142857143,0.241585,0.08824890000000002,0.3298339,83.60436,83.82566,81.8467,0.73032155,-0.4750152,0.7190438741666667,-0.3606146628571429,0.28,0.4,0.30000000000000004,107.14285714285715
79,1.0,120.0,S,0.97560965,0.5087696,0.46223522,0.46223522,0.2140417,0.08329750000000002,0.2973392,75.37997,80.3192,78.63725,0.8972734499999999,-0.4391433,0.8390176899999998,-0.3919881436,0.22,0.31999999999999995,0.26,120.0
80,2.0,120.0,S,0.98802845,0.44489455,0.4619751500000001,0.4619751500000001,0.2217164,0.08844580000000007,0.31016220000000005,78.97834,76.89528,75.7366,0.91645175,-0.39364745,0.8646464999999999,-0.3368671333333333,0.2,0.32,0.24,125.0
81,3.0,120.0,S,1.07612,0.3583005,0.431767115,0.431767115,0.2384775,0.09825070000000002,0.33672820000000003,73.3195,76.10274,74.75714,1.021543,-0.30785070000000003,0.9212590333333336,-0.2903142916666667,0.2,0.32,0.24,120.0
82,4.0,120.0,S,1.063805,0.54507795,0.4909045500000001,0.4909045500000001,0.2181976,0.09443139999999996,0.312629,76.62075,80.48442,78.24557,1.027297,-0.3050683,0.9169392,-0.23374328,0.18000000000000002,0.31999999999999995,0.22,120.0
83,5.0,120.0,S,1.039012,0.5814286999999999,0.49165262,0.49165262,0.2139355,0.0784936,0.2924291,72.90302,73.4577,69.31594,0.9432429,-0.3527717,0.8602222111111111,-0.22943512000000005,0.18000000000000002,0.32,0.26,142.85714285714286
84,6.0,120.0,S,0.9445317,0.5654929,0.54095335,0.54095335,0.2358129,0.0999602,0.3357731,78.77209,80.51720999999998,79.02769,0.7761100000000001,-0.5248168000000001,0.792297781818182,-0.4932559383333333,0.26,0.36,0.28,120.0
85,7.0,120.0,S,1.189619,0.5107484999999999,0.5649820814285714,0.5649820814285714,0.2784722,0.12465000000000005,0.4031222,72.11536,73.9573,69.43353,1.082247,-0.3121302,0.97249759,-0.3856324942857143,0.19999999999999998,0.33999999999999997,0.24000000000000002,125.0
86,8.0,120.0,S,1.004237,0.65629645,0.5854939166666667,0.5854939166666667,0.3006929,0.11073630000000012,0.4114292000000001,74.12295,76.07851,75.09081,0.9554085,-0.58161635,0.9594681000000002,-0.4915600633333333,0.26,0.36,0.28,111.11111111111109
87,9.0,120.0,S,0.99291375,0.6553034000000001,0.58248146,0.58248146,0.2437839,0.09957669999999996,0.3433606,73.72348000000002,73.65919,68.70662,0.82968485,-0.6170725,0.7587837879999999,-0.5454374200000001,0.26,0.34,0.28,136.36363636363637
88,10.0,120.0,S,1.1953745,0.6986829000000001,0.6105410714285714,0.6105410714285714,0.2842288,0.12255929999999997,0.4067881,80.19131,81.79511,79.18681,1.1402295,-0.5333472,1.0686060200000005,-0.3967248714285713,0.2,0.38,0.26,111.11111111111109
89,11.0,120.0,S,0.92505315,0.5654798000000001,0.4977650585714287,0.4977650585714287,0.27432929999999994,0.11295220000000004,0.3872815,70.18393,70.36626,64.37508000000001,0.75591875,-0.5183535,0.7499761375,-0.4070704257142857,0.26,0.38,0.27999999999999997,115.3846153846154
90,12.0,120.0,S,1.117843,0.3868781,0.5007768714285714,0.5007768714285714,0.29020159999999995,0.11308920000000006,0.4032908,78.24834,80.14976,77.14397,0.97934255,-0.3244155,0.910722575,-0.37481032571428574,0.24,0.36,0.26,115.3846153846154
91,13.0,120.0,S,1.1889,0.48953725,0.5661130333333334,0.5661130333333334,0.2732865,0.11324120000000006,0.3865277,81.67699,83.68835,78.73040999999998,1.175492,-0.44974815,1.01022754,-0.5169356716666667,0.24,0.33999999999999997,0.26,125.0
92,14.0,120.0,S,1.073796,0.4284482,0.4719144,0.4719144,0.3025703,0.09727940000000003,0.3998497,70.49292,70.5391,67.72166999999999,0.9501917,-0.3954613,0.8880910923076925,-0.37542100166666653,0.26,0.36,0.28,115.3846153846154
93,15.0,120.0,S,1.169774,0.7847656000000001,0.7037349333333333,0.7037349333333333,0.3151213,0.13278929999999997,0.4479106,79.85754,84.58746,81.24209,1.03200085,-0.7202509500000001,0.9527710416666664,-0.58434835,0.24000000000000002,0.33999999999999997,0.26,130.43478260869566
94,16.0,120.0,S,1.319232,0.6549635,0.6548678000000001,0.6548678000000001,0.2900547,0.11524949999999999,0.4053042,74.94951,77.85078,76.05096,1.1898799999999998,-0.2756781,1.1132175222222225,-0.15045551666666668,0.18000000000000002,0.31999999999999995,0.19999999999999998,125.0
95,17.0,120.0,S,1.166526,0.4011267,0.5645121714285714,0.5645121714285714,0.3129686,0.12920120000000013,0.4421698000000001,77.19138000000002,77.94315999999998,75.11929,1.09896885,-0.34589770000000003,1.0338899666666668,-0.4198686528571428,0.24000000000000002,0.38,0.28,107.14285714285714
96,18.0,120.0,S,1.218995,0.5368378,0.60808535,0.60808535,0.3397166,0.1511744,0.490891,74.83104,75.52965999999998,70.63896,1.139728,-0.4653869000000001,1.0593152615384616,-0.4482171387500001,0.26,0.4,0.28,103.44827586206895
97,19.0,120.0,S,1.4218879999999998,0.45952655,0.5542173,0.5542173,0.3554285,0.11611210000000001,0.4715406,71.79149,73.76658,71.71633,1.277189,-0.38652995,1.1553497618181818,-0.4606936983333332,0.24,0.33999999999999997,0.26,120.0
