,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7543,370.28S100T7,S,-0.2082839,-0.7499807,-0.1792778,0.559316,-0.5361552,0.0627836,0.7987452,0.1,-999,0,2.893947,100,7.0
7544,370.3S100T7,S,-0.2612374,-0.7121036,-0.2177335,0.5553057,-0.5386171,0.05922743,0.7891416,0.12,-999,0,3.942518,100,7.0
7545,370.32S100T7,S,-0.3153214,-0.609521,-0.2429484,0.5456577,-0.5516928,0.05175891,0.7279885,0.14,-999,0,6.340151,100,7.0
7546,370.34S100T7,S,-0.3750832,-0.4062026,-0.2494078,0.5343407,-0.5569362,0.04458264,0.6065412,0.16,-999,0,10.91349,100,7.0
7547,370.36S100T7,S,-0.3793703,-0.3848361,-0.2486783,0.5265647,-0.5638326,0.03958572,0.5948626,0.18,-999,0,11.39474,100,7.0
7548,370.38S100T7,S,-0.4083572,-0.08882358,-0.2265695,0.5228407,-0.5507813,0.03901719,0.4753725,0.2,-999,0,15.71694,100,7.0
7549,370.4S100T7,S,-0.4069959,0.3269939,-0.1678217,0.5122983,-0.5308107,0.03642359,0.5483929,0.22,61.46977,0.02273092,15.69688,100,7.0
7550,370.42S100T7,S,-0.3753197,0.6856921,-0.1019384,0.5032452,-0.5031299,0.0360553,0.7883083,0.24,67.41765,0.05185689,12.25061,100,7.0
7551,370.44S100T7,S,-0.3189671,0.9352472,-0.05199468,0.4963452,-0.4720184,0.03667825,0.9895104,0.26,71.33995,0.08373044,9.494688,100,7.0
7552,370.46S100T7,S,-0.3189671,0.9352472,-0.05199468,0.4899659,-0.4533134,0.03563835,0.9895104,0.28,71.26994,0.1035207,9.494688,100,7.0
7553,370.48S100T7,S,-0.2507971,1.115771,-0.02660586,0.49155,-0.437779,0.03739695,1.14392,0.3,74.50266,0.1192343,6.33998,100,7.0
7554,370.5S100T7,S,-0.1722901,1.215746,-0.02951504,0.4888439,-0.4027466,0.03742268,1.228248,0.32,77.05228,0.1543712,2.528627,100,7.0
7555,370.52S100T7,S,-0.1210334,1.195553,-0.04586254,0.4866824,-0.3717522,0.03640668,1.202539,0.34,78.55269,0.1854574,3.390328,100,7.0
7556,370.54S100T7,S,-0.07758672,1.096034,-0.05863464,0.4855241,-0.3453982,0.03503734,1.10034,0.36,79.64497,0.2118724,5.903861,100,7.0
7557,370.56S100T7,S,-0.07758672,1.096034,-0.05863464,0.4839724,-0.3234775,0.03386465,1.10034,0.38,80.21317,0.2338792,5.903861,100,7.0
7558,370.6S100T7,S,-0.0245876,0.7365577,-0.04828964,0.4847727,-0.3107051,0.03292908,0.7385483,0.42,80.87724,0.2467108,8.063843,100,7.0
7559,370.62S100T7,S,-0.009966668,0.5281019,-0.03232523,0.4847347,-0.3021172,0.03262545,0.5291841,0.44,81.16779,0.2553041,8.136683,100,7.0
7560,370.68S100T7,S,0.003821593,0.1394156,0.01194572,0.4848277,-0.2968209,0.03417565,0.1399787,0.5,81.41936,0.2608234,8.227199,100,7.0
7561,370.7S100T7,S,0.006522423,-0.06731103,0.04224291,0.4847542,-0.3065399,0.03585252,0.07973569,0.52,81.10674,0.2706863,7.869141,100,7.0
7562,370.72S100T7,S,0.01306114,-0.2394658,0.06686816,0.4849279,-0.3169996,0.03816534,0.2489695,0.54,80.78614,0.2814001,8.148958,100,7.0
7563,370.74S100T7,S,0.01960807,-0.4469065,0.09139359,0.4857062,-0.3345407,0.04117153,0.4565772,0.56,80.23969,0.2992139,7.468874,100,7.0
