,BPM,GestureSize,TotalDistanceCoveredBothRegions,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,Trial
148,80.0,M,0.5660606,0.4094765,0.1565841,29.0
149,80.0,M,0.6059694999999999,0.4347239000000001,0.17124559999999983,30.0
150,80.0,M,0.5656595999999999,0.4136684000000001,0.15199119999999983,31.0
151,80.0,M,0.6317356,0.4317982,0.19993739999999993,32.0
152,80.0,M,0.6075605,0.4243537,0.18320679999999995,33.0
153,80.0,M,0.6969165,0.4728166,0.22409990000000007,34.0
154,80.0,M,0.5851135000000001,0.4274316,0.15768190000000004,35.0
155,80.0,M,0.5234622,0.3830717,0.14039049999999997,36.0
156,80.0,M,0.5609848000000001,0.412236,0.14874880000000007,37.0
157,80.0,M,0.582091,0.3994122000000001,0.18267879999999992,38.0
158,80.0,M,0.5585486,0.4082144,0.15033419999999997,39.0
159,80.0,M,0.5131572,0.3684962,0.14466099999999998,40.0
160,100.0,M,0.7993473000000001,0.5619911999999999,0.23735610000000018,1.0
161,100.0,M,0.6823578,0.4875067,0.1948511,2.0
162,100.0,M,0.6583446,0.4875841,0.17076049999999993,3.0
163,100.0,M,0.8038860999999999,0.5311724,0.27271369999999995,4.0
164,100.0,M,0.6644889,0.4740082000000001,0.19048069999999995,5.0
165,100.0,M,0.6815081999999999,0.4792283,0.2022798999999999,6.0
166,100.0,M,0.7011877,0.4912545,0.2099332,7.0
167,100.0,M,0.6218129,0.4395244,0.18228850000000002,8.0
168,100.0,M,0.7258993,0.5054666,0.22043270000000004,9.0
169,100.0,M,0.658316,0.480736,0.17758000000000002,10.0
170,100.0,M,0.7203496,0.5038847,0.21646490000000007,11.0
171,100.0,M,0.6799546999999999,0.4757548,0.20419989999999993,12.0
172,100.0,M,0.6492754,0.469003,0.18027239999999994,13.0
173,100.0,M,0.6108945,0.4282054,0.1826891,14.0
174,100.0,M,0.5256491999999999,0.3698263,0.15582289999999993,15.0
175,100.0,M,0.5629918,0.4082371,0.15475470000000002,16.0
176,100.0,M,0.6029251999999999,0.424505,0.17842019999999992,17.0
177,100.0,M,0.6258229000000001,0.4566849,0.16913800000000007,18.0
178,100.0,M,0.6314684,0.443242,0.18822640000000002,19.0
179,100.0,M,0.5389678000000001,0.380956,0.1580118000000001,20.0
180,100.0,M,0.4525625,0.3187627,0.13379979999999997,21.0
181,100.0,M,0.512554,0.3470625,0.16549149999999996,22.0
182,100.0,M,0.6012779,0.4128324,0.18844550000000004,23.0
183,100.0,M,0.5112303,0.3629967,0.14823360000000002,24.0
184,100.0,M,0.5826876999999999,0.3993255,0.18336219999999992,25.0
185,100.0,M,0.6024694,0.4160571,0.18641230000000003,26.0
186,100.0,M,0.6120869999999999,0.4348476,0.17723939999999994,27.0
187,100.0,M,0.5670303000000001,0.4127028,0.15432750000000012,28.0
188,100.0,M,0.5824183,0.4169978,0.16542050000000008,29.0
189,100.0,M,0.6044841,0.4166282,0.18785589999999996,30.0
190,100.0,M,0.6449513000000001,0.4460794,0.1988719000000001,31.0
191,100.0,M,0.5418303000000001,0.3733436,0.1684867000000001,32.0
192,100.0,M,0.5063565,0.3549531,0.15140339999999997,33.0
193,100.0,M,0.5444595,0.389003,0.1554565,34.0
194,100.0,M,0.5598509,0.3961738,0.16367710000000002,35.0
195,100.0,M,0.5228546,0.3716308,0.15122379999999996,36.0
196,100.0,M,0.4780383,0.3219885,0.15604980000000002,37.0
197,100.0,M,0.4835743,0.34187,0.1417043,38.0
198,100.0,M,0.4933593,0.3425887,0.15077059999999998,39.0
199,100.0,M,0.5107648,0.35184740000000003,0.1589174,40.0
200,120.0,M,0.6267845999999999,0.4302647,0.19651989999999991,1.0
201,120.0,M,0.5595097,0.4060186,0.1534911,2.0
202,120.0,M,0.5466892,0.3877694,0.1589198,3.0
203,120.0,M,0.6333604,0.462417,0.17094340000000002,4.0
204,120.0,M,0.5550733,0.4048149,0.15025840000000001,5.0
205,120.0,M,0.5192778,0.3752018,0.14407600000000004,6.0
206,120.0,M,0.6017631999999999,0.4323174,0.16944579999999992,7.0
207,120.0,M,0.6259505999999999,0.4352838,0.19066679999999991,8.0
208,120.0,M,0.6600984000000001,0.4770720000000001,0.18302639999999998,9.0
209,120.0,M,0.5314789000000001,0.380796,0.15068290000000006,10.0
210,120.0,M,0.6823776999999999,0.4835157,0.19886199999999987,11.0
211,120.0,M,0.6383097,0.4490773,0.18923239999999997,12.0
212,120.0,M,0.6316676,0.447794,0.18387359999999997,13.0
213,120.0,M,0.650463,0.4716658,0.1787972,14.0
214,120.0,M,0.6439576,0.4302088,0.21374880000000002,15.0
215,120.0,M,0.6313386,0.4469687,0.18436989999999998,16.0
216,120.0,M,0.6486951,0.446328,0.20236709999999997,17.0
217,120.0,M,0.6381151999999999,0.4337485,0.2043666999999999,18.0
218,120.0,M,0.6220914000000001,0.4348288,0.18726260000000006,19.0
219,120.0,M,0.583761,0.4296586,0.15410239999999997,20.0
220,120.0,M,0.5088273,0.3656583,0.143169,21.0
221,120.0,M,0.4776441,0.3383515,0.1392926,22.0
222,120.0,M,0.5031697,0.3631361,0.14003360000000004,23.0
223,120.0,M,0.478467,0.3451941,0.13327289999999997,24.0
224,120.0,M,0.5064548,0.3522031,0.1542517,25.0
225,120.0,M,0.4697432,0.3349554,0.1347878,26.0
226,120.0,M,0.35803850000000004,0.2613377,0.09670080000000003,27.0
227,120.0,M,0.454253,0.3243052,0.1299478,28.0
228,120.0,M,0.4434122,0.3225292,0.12088299999999996,29.0
229,120.0,M,0.4596337,0.3231413,0.13649239999999996,30.0
230,120.0,M,0.4897237,0.3682991,0.1214246,31.0
231,120.0,M,0.4495041,0.3355798,0.11392430000000003,32.0
232,120.0,M,0.4827676,0.35002890000000003,0.1327387,33.0
233,120.0,M,0.4411318,0.3196148,0.12151700000000004,34.0
234,120.0,M,0.4499745,0.339812,0.1101625,35.0
235,120.0,M,0.4746933,0.35601059999999995,0.11868270000000003,36.0
236,120.0,M,0.4863229,0.3584653,0.12785760000000002,37.0
237,120.0,M,0.4569587000000001,0.3266768,0.13028190000000012,38.0
238,120.0,M,0.3993081,0.2945123,0.1047958,39.0
239,120.0,M,0.4870779000000001,0.3415762,0.14550170000000012,40.0
240,80.0,L,0.8540998,0.6061356999999999,0.24796410000000002,1.0
241,80.0,L,0.9685532,0.6780973000000001,0.2904558999999999,2.0
242,80.0,L,0.9421289,0.609226,0.3329029,3.0
243,80.0,L,0.9829067,0.6707585,0.3121482,4.0
244,80.0,L,1.023077,0.6894422,0.3336348,5.0
245,80.0,L,1.055803,0.7318859999999999,0.3239170000000001,6.0
246,80.0,L,0.9239388,0.6327364000000001,0.29120239999999986,7.0
247,80.0,L,0.993642,0.6489319,0.3447101,8.0
248,80.0,L,0.9095706,0.6424524,0.2671182,9.0
249,80.0,L,1.03739,0.7176561,0.3197339,10.0
250,80.0,L,1.060009,0.7101135000000001,0.3498954999999999,11.0
251,80.0,L,1.015443,0.7060805,0.3093625000000001,12.0
252,80.0,L,1.0096459999999998,0.6940149999999999,0.3156309999999999,13.0
253,80.0,L,1.079816,0.7570194,0.3227966000000001,14.0
254,80.0,L,1.045865,0.7407433000000001,0.30512169999999994,15.0
255,80.0,L,1.117951,0.7637755,0.35417549999999987,16.0
256,80.0,L,1.031679,0.7094874,0.3221916,17.0
257,80.0,L,0.9261672,0.6687797,0.2573875,18.0
258,80.0,L,0.9612586,0.6688293000000001,0.2924292999999999,19.0
259,80.0,L,0.9696898000000002,0.6904942,0.2791956000000002,20.0
260,80.0,L,0.7651045,0.5700847,0.19501979999999997,21.0
261,80.0,L,0.8484351000000001,0.6130725,0.2353626000000001,22.0
262,80.0,L,0.8436684000000001,0.5778808000000001,0.2657876,23.0
263,80.0,L,0.8104278,0.5689483,0.24147950000000007,24.0
264,80.0,L,0.8399134,0.5981911,0.24172230000000006,25.0
265,80.0,L,0.8478976,0.5825815,0.26531610000000005,26.0
266,80.0,L,0.7500697,0.5532655,0.19680419999999998,27.0
267,80.0,L,0.8041853,0.5744994000000001,0.2296858999999999,28.0
268,80.0,L,0.7347533,0.5000216,0.2347317000000001,29.0
269,80.0,L,0.7389796,0.5338582,0.2051214,30.0
270,80.0,L,0.7832991,0.5374029,0.2458962,31.0
271,80.0,L,0.7400013000000001,0.5272498999999999,0.21275140000000015,32.0
272,80.0,L,0.7651688,0.5531678000000001,0.21200099999999988,33.0
273,80.0,L,0.770695,0.5432808000000001,0.2274141999999999,34.0
274,80.0,L,0.7362926,0.5520174,0.18427519999999997,35.0
275,80.0,L,0.8343207,0.6141453,0.22017540000000002,36.0
276,80.0,L,0.7639081,0.5328921999999999,0.23101590000000005,37.0
277,80.0,L,0.8121815,0.5889435000000001,0.22323799999999994,38.0
278,80.0,L,0.7622372,0.5460951,0.2161420999999999,39.0
279,80.0,L,0.7255497,0.5420748000000001,0.18347489999999989,40.0
280,100.0,L,0.9740848,0.6787211999999999,0.29536360000000006,1.0
281,100.0,L,1.007855,0.6967083000000001,0.3111466999999999,2.0
282,100.0,L,1.007657,0.7264453000000001,0.28121169999999995,3.0
283,100.0,L,1.033966,0.7234508000000001,0.3105151999999999,4.0
284,100.0,L,0.9906881,0.7210653,0.26962279999999994,5.0
285,100.0,L,1.0985969999999998,0.7491838000000001,0.34941319999999976,6.0
286,100.0,L,1.044443,0.7297241,0.3147189,7.0
287,100.0,L,1.099144,0.7839546,0.31518939999999995,8.0
288,100.0,L,1.125531,0.7994264,0.3261046000000001,9.0
289,100.0,L,0.9201822,0.6396849,0.28049729999999995,10.0
290,100.0,L,1.099494,0.7593356,0.34015839999999997,11.0
