,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
44,6.0,100.0,S,1.380235,0.7453701,0.4369880999999999,0.16373300000000002,0.6007210999999999,75.23575,77.54868,76.37482,0.25,0.13,0.48,0.6,0.16,0.5,0.57
45,7.0,100.0,S,1.5046815,0.8350224,0.4133848,0.1663447,0.5797295,71.86671,73.17517,69.94771999999999,0.31000000000000005,0.11,0.36,0.56,0.12,0.38,0.55
46,8.0,100.0,S,1.441802,0.5164809,0.3857735,0.15958499999999998,0.5453585,70.75758,71.80068,68.22424000000001,0.23000000000000004,0.09000000000000002,0.32,0.46,0.08,0.34,0.47
47,9.0,100.0,S,1.4104709999999998,0.7857956,0.4067056,0.18411080000000007,0.5908164,71.8925,73.32859,69.65899999999999,0.25,0.11,0.4,0.54,0.1,0.42,0.55
48,10.0,100.0,S,1.422995,0.5760679,0.4060115,0.1478718000000001,0.5538833000000001,69.44069,70.46228,67.93449,0.25,0.11,0.38,0.52,0.1,0.4,0.53
49,11.0,100.0,S,1.399711,0.5706515,0.396982,0.1638966,0.5608786,71.12623,71.96734000000002,67.83936,0.27,0.11,0.34,0.5,0.08,0.38,0.53
50,12.0,100.0,S,1.200952,0.5518111,0.3474123,0.14738929999999995,0.4948016,75.05818000000002,76.99521999999997,73.29916,0.24999999999999994,0.08999999999999997,0.34,0.5,0.08,0.38,0.51
51,13.0,100.0,S,1.112774,0.7569296,0.28835429999999995,0.12717270000000008,0.415527,83.13773,80.73843000000002,79.18165,0.25,0.11,0.36,0.5,0.1,0.4,0.51
52,14.0,100.0,S,1.144114,0.7871361,0.3545494,0.1347276,0.489277,72.16594,73.12379,70.18890999999999,0.24999999999999994,0.1299999999999999,0.44,0.56,0.1,0.46,0.59
53,15.0,100.0,S,0.977424,0.3799024,0.2824355,0.11158459999999998,0.3940201,76.08184,78.81831,76.99467,0.25,0.11,0.38,0.52,0.12,0.4,0.51
54,16.0,100.0,S,1.095905,0.6005189999999999,0.3130507,0.116081,0.4291317,77.39331999999997,79.15295,78.00248,0.23,0.11,0.38,0.5,0.1,0.4,0.51
55,17.0,100.0,S,1.113708,0.6722913,0.2921061,0.11851050000000002,0.4106166,82.6936,84.4127,83.43513,0.25,0.11,0.38,0.52,0.12,0.42,0.51
56,18.0,100.0,S,0.9086254,0.6878738,0.28730029999999995,0.12689520000000004,0.4141955,79.00057,80.29483,78.44798,0.21,0.08999999999999997,0.38,0.5,0.1,0.4,0.49
57,19.0,100.0,S,1.0313290000000002,0.5911021,0.2854331,0.11246830000000002,0.3979014,78.20255999999998,80.06995,77.09744,0.27,0.13,0.34,0.48,0.1,0.38,0.51
58,20.0,100.0,S,1.08112,0.6604229,0.2893524,0.11899550000000005,0.4083479,83.52977,82.00184,80.01696,0.21,0.08999999999999997,0.44,0.56,0.18,0.48,0.47
59,21.0,100.0,S,0.7052208999999999,0.336501,0.2125712,0.08474780000000001,0.297319,76.39529,77.86548,75.23177,0.27,0.13,0.38,0.52,0.14,0.42,0.51
60,22.0,100.0,S,0.8468897500000001,0.4717838,0.2271005,0.09848729999999996,0.3255878,84.06213000000002,82.10403000000002,80.68288000000003,0.27,0.11,0.44,0.6,0.18,0.48,0.53
61,23.0,100.0,S,0.9069993,0.34375009999999995,0.2550871,0.11372549999999998,0.3688126,77.19881,77.94051,71.81837,0.27,0.11,0.44,0.6,0.16,0.46,0.5499999999999999
62,24.0,100.0,S,0.9925382,0.5323512,0.25833110000000004,0.09732589999999997,0.355657,77.77741,77.85381,74.75388000000002,0.25,0.13,0.4,0.52,0.12,0.42,0.53
63,25.0,100.0,S,0.8442519500000001,0.569933,0.2297768,0.10149810000000004,0.33127490000000004,77.4288,77.85597,73.14621,0.21,0.09000000000000008,0.46,0.58,0.16,0.48,0.51
64,26.0,100.0,S,0.9276131,0.52397285,0.2570885,0.10743349999999996,0.364522,78.51333000000002,78.8987,74.05019,0.27,0.11,0.42,0.58,0.12,0.46,0.57
65,27.0,100.0,S,0.9895104,0.6269604,0.2608234,0.10908290000000004,0.3699063,81.41936,81.10674,76.39263000000003,0.23,0.11,0.52,0.64,0.22,0.54,0.53
66,28.0,100.0,S,0.9695351000000001,0.58985515,0.303891,0.1428931,0.4467841,81.10306,81.96468,76.57918000000002,0.31,0.13,0.46,0.64,0.18,0.5,0.5900000000000001
67,29.0,100.0,S,0.9104427,0.4337066,0.235423,0.09436459999999997,0.3297876,78.55481,78.67218000000003,74.12854,0.22999999999999995,0.11,0.46,0.58,0.16,0.48,0.5299999999999999
